Term,Description
CALCIMYCIN,"An ionophorous, polyether antibiotic from Streptomyces chartreusensis. It binds and transports CALCIUM and other divalent cations across membranes and uncouples oxidative phosphorylation while inhibiting ATPase of rat liver mitochondria. The substance is used mostly as a biochemical tool to study the role of divalent cations in various biological systems.
    "
TEMEFOS,"An organothiophosphate insecticide.
    "
ABATTOIRS,"Places where animals are slaughtered and dressed for market.
    "
ABDOMEN,"That portion of the body that lies between the THORAX and the PELVIS.
    "
ABETALIPOPROTEINEMIA,"An autosomal recessive disorder of lipid metabolism. It is caused by mutation of the microsomal triglyceride transfer protein that catalyzes the transport of lipids (TRIGLYCERIDES; CHOLESTEROL ESTERS; PHOSPHOLIPIDS) and is required in the secretion of BETA-LIPOPROTEINS (low density lipoproteins or LDL). Features include defective intestinal lipid absorption, very low serum cholesterol level, and near absent LDL.
    "
ABOMASUM,"The fourth stomach of ruminating animals. It is also called the true stomach. It is an elongated pear-shaped sac lying on the floor of the abdomen, on the right-hand side, and roughly between the seventh and twelfth ribs. It leads to the beginning of the small intestine. (From Black's Veterinary Dictionary, 17th ed)
    "
MISCARRIAGE,"A loss of PREGNANCY from natural causes before the 20th week of pregnancy. (2017/18 ICD-10-CM)
    "
ABREACTION,"A process in psychotherapy in which the patient is desensitized to emotionally painful, often forgotten (repressed) memories by recalling and reacting to them in the safety of the treatment setting.
    "
ABRIN,"A toxic lectin from the seeds of jequirity, Abrus precatorius L. Very active poison. Five different proteins have so far been isolated: Abrus agglutinin, the component responsible for: hemagglutinating activity, & abrins a-d, the toxic principals each consisting of two peptide chains are held together by disulfide bonds.
    "
ABSCESS,"Accumulation of purulent material in tissues, organs, or circumscribed spaces, usually associated with signs of infection.
    "
ABSENTEEISM,"Chronic absence from work or other duty.
    "
ABSORPTION,"The physical or physiological processes by which substances, tissue, cells, etc. take up or take in other substances or energy.
    "
ACACIA,"A plant genus of the family FABACEAE. The gums and tanning agents obtained from Acacia are called GUM ARABIC. The common name catechu is more often used for Areca catechu (ARECA).
    "
ACANTHAMOEBA,"A genus of free-living soil amoebae that produces no flagellate stage. Its organisms are pathogens for several infections in humans and have been found in the eye, bone, brain, and respiratory tract.
    "
ACANTHOCEPHALA,"A phylum of parasitic worms, closely related to tapeworms and containing two genera: Moniliformis, which sometimes infects man, and Macracanthorhynchus, which infects swine.
    "
ACANTHOCYTES,"Erythrocytes with protoplasmic projections giving the cell a thorny appearance.
    "
